scenario_name,fork_block,dex,input_token,output_token,input_amount,reference_output,simulated_output,slippage_deviation,padgf_decision,execution_allowed,status
Phase 3 Protected Swap,19400000,Uniswap V2,WETH,USDC,1.0,3899.684203,3899.684203,0,Execute,true,success
Phase 3 Protected Swap,19400000,Uniswap V2,WETH,USDC,1.0,3899.684203,3899.684203,0,Execute,true,success
Phase 3 Protected Swap,19400000,Uniswap V2,WETH,USDC,1.0,2398.930676,2398.930676,0,Execute,true,success
Phase 3 Protected Swap,19400000,Uniswap V2,WETH,USDC,1.0,3899.684203,3899.684203,0,Execute,true,success
Phase 3 Protected Swap,19400000,Uniswap V2,WETH,USDC,1.0,3899.684203,3899.684203,0,Execute,true,success
Phase 3 Protected Swap,19400000,Uniswap V2,WETH,USDC,14,54538.403686,54538.403686,0,Execute,true,success
Phase 3 Protected Swap,19400000,Uniswap V2,WETH,USDC,14,54538.403686,54538.403686,0,Execute,true,success
Phase 3 Protected Swap,19400000,Uniswap V2,WETH,USDC,14,54538.403686,54538.403686,0,Execute,true,success
Phase 3 Protected Swap,19400000,Uniswap V2,WETH,USDC,14,54538.403686,54538.403686,0,Execute,true,success
Phase 3 Protected Swap,19400000,Uniswap V2,WETH,USDC,14,54538.403686,54538.403686,0,Execute,true,success
Phase 3 Protected Swap,19400000,Uniswap V2,WETH,USDC,14,54538.403686,54538.403686,0,Execute,true,success
Phase 3 Protected Swap,19400000,Uniswap V2,WETH,USDC,14,54538.403686,54538.403686,0,Execute,true,success
Phase 3 Protected Swap,19400000,Uniswap V2,WETH,USDC,14,54538.403686,54538.403686,0,Execute,true,success
Phase 3 Protected Swap,19400000,Uniswap V2,WETH,USDC,14,54538.403686,54538.403686,0,Execute,true,success
Phase 3 Protected Swap,19400000,Uniswap V2,WETH,USDC,14,54538.403686,53685.631921,1.5636170246378225,Execute,true,success
Phase 3 Protected Swap,19400000,Uniswap V2,WETH,USDC,14,54538.403686,53685.631921,1.5636170246378225,Execute,true,success
Phase 3 Protected Swap,19400000,Uniswap V2,WETH,USDC,14,54538.403686,53685.631921,1.5636170246378225,Execute,true,success
Phase 3 Protected Swap,19400000,Uniswap V2,WETH,USDC,14,54538.403686,53685.631921,1.5636170246378225,Execute,true,3.067200000000412,success
Phase 3 Protected Swap,19400000,Uniswap V2,WETH,USDC,14,54538.403686,53685.631921,1.5636170246378225,Execute,true,9.815999999999804,success
